title,popularity,collection,genres_encoded
The Godfather,41.109264,The Godfather Collection,"[6, 4]"
Fantastic Beasts and Where to Find Them,41.051421,Fantastic Beasts Collection,"[1, 7, 8]"
Spirited Away,41.048867,No Collection,"[8, 1, 2, 7]"
Wind River,40.796775,No Collection,"[0, 4, 13, 17]"
Now You See Me 2,39.540653,Now You See Me Collection,"[0, 1, 3, 4, 13, 17]"
Life Is Beautiful,39.39497,No Collection,"[3, 6]"
Transformers: The Last Knight,39.186819,Transformers Collection,"[0, 15, 17, 1]"
Before I Fall,38.995136,No Collection,"[13, 6, 17]"
Harry Potter and the Philosopher's Stone,38.187238,Harry Potter Collection,"[1, 8, 7]"
Girls Trip,37.964872,No Collection,[3]
2:22,37.484577,No Collection,"[6, 17]"
Avengers: Age of Ultron,37.37942,The Avengers Collection,"[0, 1, 15]"
Get Out,36.894806,No Collection,"[13, 17, 11]"
Psycho,36.826309,Psycho Collection,"[6, 11, 17]"
Fury,36.713807,No Collection,"[18, 6, 0]"
Despicable Me 3,36.631519,Despicable Me Collection,"[0, 2, 1, 7, 3]"
The Godfather: Part II,36.629307,The Godfather Collection,"[6, 4]"
Rogue One: A Star Wars Story,36.567575,Star Wars Collection,"[0, 1, 15]"
Lucy,36.447603,No Collection,"[0, 15]"
Life,36.263803,No Collection,"[11, 15, 17]"
Miss Peregrine's Home for Peculiar Children,36.262655,No Collection,"[6, 8, 1]"
The Beguiled,36.26051,No Collection,"[6, 19]"
Operation Mekong,35.972581,No Collection,"[0, 1]"
Baywatch,35.637691,No Collection,"[0, 3]"
One Flew Over the Cuckoo's Nest,35.529554,No Collection,[6]
Thor: The Dark World,34.905447,Thor Collection,"[0, 1, 8]"
A Silent Voice,34.852055,No Collection,"[2, 6]"
Your Name.,34.461252,No Collection,"[14, 2, 6]"
Dilwale Dulhania Le Jayenge,34.457024,No Collection,"[3, 6, 14]"
Me Before You,34.34759,No Collection,"[6, 14]"
The Mother of Tears,34.145916,The Three Mothers Collection,[11]
The Twilight Saga: Eclipse,34.047399,The Twilight Collection,"[1, 8, 6, 14]"
Pacific Rim,33.949359,Pacific Rim Collection,"[0, 15, 1]"
The Mummy,33.704935,No Collection,"[17, 0, 1]"
The Emoji Movie,33.694599,No Collection,"[3, 7, 2]"
Rescue Under Fire,33.536359,No Collection,[18]
Creed,33.449723,Rocky Collection,[6]
The Matrix,33.366332,The Matrix Collection,"[0, 15]"
Fifty Shades of Grey,33.068431,Fifty Shades Collection,"[6, 14, 17]"
Jurassic World,32.790475,Jurassic Park Collection,"[0, 1, 15, 17]"
Interstellar,32.213481,No Collection,"[1, 6, 15]"
Once Upon a Time in America,32.182851,No Collection,"[6, 4]"
The Lord of the Rings: The Fellowship of the Ring,32.070725,The Lord of the Rings Collection,"[1, 8, 0]"
Edge of Tomorrow,31.982986,No Collection,"[0, 15]"
The Autopsy of Jane Doe,31.772396,No Collection,"[11, 13]"
The Hobbit: The Battle of the Five Armies,31.718977,The Hobbit Collection,"[0, 1, 8]"
Star Wars: The Force Awakens,31.626013,Star Wars Collection,"[0, 1, 15, 8]"
The Imitation Game,31.59594,No Collection,"[10, 6, 17, 18]"
Batman v Superman: Dawn of Justice,31.435879,Man of Steel Collection,"[0, 1, 8]"
Pirates of the Caribbean: At World's End,31.363664,Pirates of the Caribbean Collection,"[1, 8, 0]"
Collide,31.314013,No Collection,"[17, 0]"
Twilight,31.282029,The Twilight Collection,"[1, 8, 6, 14]"
The Amazing Spider-Man,31.102267,The Amazing Spider-Man Collection,"[0, 1, 8]"
Dunkirk,30.938854,No Collection,"[0, 6, 10, 17, 18]"
Arrival,30.83786,No Collection,"[17, 6, 15, 13]"
12 Years a Slave,30.316249,No Collection,"[6, 10]"
Chappie,30.206365,No Collection,"[4, 0, 15]"
Terminator Genisys,30.188198,The Terminator Collection,"[15, 0, 17, 1]"
The House,30.146847,No Collection,[3]
The Twilight Saga: New Moon,30.121292,The Twilight Collection,"[1, 8, 6, 14]"
Harry Potter and the Chamber of Secrets,29.741452,Harry Potter Collection,"[1, 8, 7]"
Pirates of the Caribbean: Dead Man's Chest,29.455314,Pirates of the Caribbean Collection,"[1, 8, 0]"
Kong: Skull Island,29.429112,No Collection,"[0, 1, 8]"
The Lord of the Rings: The Two Towers,29.423537,The Lord of the Rings Collection,"[1, 8, 0]"
Spider-Man,29.413341,Spider-Man Collection,"[8, 0]"
Mad Max: Fury Road,29.36178,Mad Max Collection,"[0, 1, 15, 17]"
The Lord of the Rings: The Return of the King,29.324358,The Lord of the Rings Collection,"[1, 8, 0]"
Thor,29.158489,Thor Collection,"[1, 8, 0]"
Fifty Shades Darker,29.130443,Fifty Shades Collection,"[6, 14]"
Inception,29.108149,No Collection,"[0, 17, 15, 13, 1]"
Split,28.920839,No Collection,"[11, 17]"
X-Men: Apocalypse,28.712522,X-Men Collection,[15]
Batman Begins,28.505341,The Dark Knight Collection,"[0, 4, 6]"
Harry Potter and the Prisoner of Azkaban,28.460276,Harry Potter Collection,"[1, 8, 7]"
The Saint,28.23593,No Collection,"[0, 1, 4]"
Kingsman: The Secret Service,28.224212,Kingsman Collection,"[4, 3, 0, 1]"
Diary of a Wimpy Kid: The Long Haul,28.176992,Diary of a Wimpy Kid Collection,"[3, 7]"
Pirates of the Caribbean: On Stranger Tides,27.88772,Pirates of the Caribbean Collection,"[1, 0, 8]"
Insurgent,27.887186,Divergent Collection,"[1, 15, 17]"
The Purge: Anarchy,27.756026,The Purge Collection,"[11, 17]"
Spider-Man 3,27.614265,Spider-Man Collection,"[8, 0, 1]"
Assassin's Creed,27.54107,No Collection,"[0, 1, 15]"
Sex Tape,27.470696,No Collection,[3]
Furious 7,27.275687,The Fast and the Furious Collection,[0]
Dark Skies,26.972326,No Collection,"[15, 17, 11]"
Titanic,26.88907,No Collection,"[6, 14, 17]"
Ant-Man,26.882388,Ant-Man Collection,"[15, 0, 1]"
Pan's Labyrinth,26.817754,No Collection,"[8, 6, 18]"
The Hunger Games: Mockingjay - Part 2,26.628178,The Hunger Games Collection,"[0, 1, 15]"
"Monsters, Inc.",26.419962,"Monsters, Inc. Collection","[2, 3, 7]"
The Amazing Spider-Man 2,26.23687,The Amazing Spider-Man Collection,"[0, 1, 8]"
World War Z,26.114917,World War Z Collection,"[0, 6, 11, 15, 17]"
The Twilight Saga: Breaking Dawn - Part 2,26.080995,The Twilight Collection,"[1, 8, 6, 14]"
X-Men: Days of Future Past,26.058586,X-Men Collection,"[0, 1, 8, 15]"
Zootopia,26.024868,No Collection,"[2, 1, 7, 3]"
The Twilight Saga: Breaking Dawn - Part 1,25.9725,The Twilight Collection,"[1, 8, 14]"
Justice League,25.944629,Justice League Collection,"[0, 1, 8, 15]"
Don't Breathe,25.869883,No Collection,"[4, 11, 17]"
Back to the Future,25.778509,Back to the Future Collection,"[1, 3, 15, 7]"
The Martian,25.62993,No Collection,"[6, 1, 15]"
Finding Nemo,25.497794,Finding Nemo Collection,"[2, 7]"
Colossal,25.373662,No Collection,"[0, 3, 6, 8, 15]"
The Hunger Games: Catching Fire,25.309139,The Hunger Games Collection,"[1, 0, 15]"
Self/less,25.301568,No Collection,"[15, 13, 17]"
Kill Bill: Vol. 1,25.261865,Kill Bill Collection,"[0, 4]"
The Hangover Part III,25.085639,The Hangover Collection,[3]
Harry Potter and the Deathly Hallows: Part 2,24.990737,Harry Potter Collection,"[7, 8, 1]"
Spectre,24.926577,James Bond Collection,"[0, 1, 4]"
Sleight,24.91169,No Collection,"[6, 17, 0, 15]"
Black Mirror: White Christmas,24.910782,No Collection,"[6, 11, 13, 15, 17, 16]"
Harry Potter and the Goblet of Fire,24.903058,Harry Potter Collection,"[1, 8, 7]"
Despicable Me 2,24.82355,Despicable Me Collection,"[2, 3, 7]"
No Good Deed,24.644321,No Collection,"[4, 17]"
The Book of Henry,24.553725,No Collection,"[17, 6, 4]"
Rings,24.535733,The Ring Collection,[11]
Child's Play 3,24.515462,Child's Play Collection,"[17, 11, 0]"
A Monster Calls,24.483893,No Collection,"[6, 8]"
A Ghost Story,24.339781,No Collection,"[6, 8, 14]"
Rough Night,24.317924,No Collection,"[6, 3]"
The Fifth Element,24.30526,No Collection,"[1, 8, 0, 17, 15]"
Frozen,24.248243,Frozen Collection,"[2, 1, 7]"
Overdrive,24.124945,No Collection,"[17, 0]"
Inside Out,23.985587,No Collection,"[6, 3, 2, 7]"
Grown Ups,23.981251,Grown Ups Collection,[3]
A Dog's Will,23.950396,No Collection,"[1, 3, 6]"
The Hangover,23.947351,The Hangover Collection,[3]
Iron Man 3,23.721243,Iron Man Collection,"[0, 1, 15]"
DragonHeart,23.63659,DragonHeart Collection,[8]
Saw,23.508433,Saw Collection,"[11, 13, 4]"
The Revenant,23.501228,No Collection,"[19, 6, 1, 17]"
The Big Sick,23.424794,No Collection,"[3, 6, 14]"
Alien,23.37742,Alien Collection,"[11, 0, 17, 15]"
Harry Potter and the Deathly Hallows: Part 1,23.300362,Harry Potter Collection,"[1, 8, 7]"
The Hobbit: An Unexpected Journey,23.253089,The Hobbit Collection,"[1, 8, 0]"
Power Rangers,23.247298,No Collection,"[0, 1, 15]"
Annabelle,23.242452,Annabelle Collection,[11]
The Purge,23.207663,The Purge Collection,"[15, 11, 17]"
Gladiator,23.186667,No Collection,"[0, 6, 1]"
Casino Royale,23.065078,James Bond Collection,"[1, 0, 17]"
The Jungle Book,22.845448,The Jungle Book Collection,"[7, 2, 1]"
Fist Fight,22.831649,No Collection,[3]
Train to Busan,22.685169,No Collection,"[0, 11, 17]"
Terminator 2: Judgment Day,22.661695,The Terminator Collection,"[0, 17, 15]"
2001: A Space Odyssey,22.494622,The Space Odyssey Series,"[15, 13, 1]"
Teenage Mutant Ninja Turtles,22.337973,Teenage Mutant Ninja Turtles (Remake) Collection,"[15, 0, 1, 8, 3]"
Tomorrowland,22.296076,No Collection,"[1, 7, 13, 15]"
Despicable Me,22.274502,Despicable Me Collection,"[2, 7]"
The Incredibles,22.220214,The Incredibles Collection,"[0, 1, 2, 7]"
Angels & Demons,22.211558,Robert Langdon Collection,"[17, 13]"
Penguins of Madagascar,22.201607,Madagascar Collection,"[7, 2, 1, 3]"
Ghostbusters,22.089729,Ghostbusters Collection,"[3, 8]"
Iron Man,22.073099,Iron Man Collection,"[0, 15, 1]"
The Wizard of Oz,22.064932,No Collection,"[1, 7, 8]"
Charlie and the Chocolate Factory,22.038405,No Collection,"[1, 3, 7, 8]"
Stonehearst Asylum,21.991755,No Collection,[17]
Toy Story,21.946943,Toy Story Collection,"[2, 3, 7]"
The Hangover Part II,21.893532,The Hangover Collection,[3]
I.T.,21.815354,No Collection,"[4, 6, 17]"
The Lost City of Z,21.791111,No Collection,"[0, 1, 6, 10]"
Aliens,21.761179,Alien Collection,"[11, 0, 17, 15]"
Saving Private Ryan,21.758054,No Collection,"[6, 10, 18]"
Seven Pounds,21.708267,No Collection,[6]
The Lion King,21.605761,The Lion King Collection,"[7, 2, 6]"
Divergent,21.572585,Divergent Collection,"[1, 0, 15]"
Kill Bill: Vol. 2,21.533072,Kill Bill Collection,"[0, 4, 17]"
Enigma,21.520641,No Collection,"[13, 6, 17, 14, 18]"
I Spit on Your Grave III: Vengeance is Mine,21.505988,I Spit on Your Grave Collection,"[11, 17]"
Jupiter Ascending,21.463465,No Collection,"[15, 8, 0, 1]"
Harry Potter and the Order of the Phoenix,21.3643,Harry Potter Collection,"[1, 8, 7, 13]"
Cast Away,21.296343,No Collection,"[1, 6]"
Nightcrawler,21.277073,No Collection,"[4, 6, 17]"
TRON: Legacy,21.259,TRON Collection,"[1, 0, 15]"
Straight Outta Compton,21.183077,No Collection,"[6, 12]"
Mulan,21.180857,Mulan Collection,"[2, 7, 1]"
Pixels,21.14796,No Collection,"[0, 3, 15]"
The Key,21.079551,No Collection,"[14, 6]"
The Bourne Identity,21.040126,The Bourne Collection,"[0, 6, 13, 17]"
Hacksaw Ridge,21.037699,No Collection,"[6, 10, 18]"
The Pursuit of Happyness,20.981716,No Collection,[6]
Horrible Bosses 2,20.903362,Horrible Bosses Collection,[3]
In a Heartbeat,20.82178,No Collection,"[7, 2, 14, 3]"
Terminator 3: Rise of the Machines,20.818907,The Terminator Collection,"[0, 17, 15]"
Braveheart,20.755149,No Collection,"[0, 6, 10, 18]"
American Beauty,20.726578,No Collection,[6]
The Bar,20.720113,No Collection,"[11, 17, 3]"
Amityville: The Awakening,20.712818,The Amityville Horror Collection,"[17, 11]"
Scouts Guide to the Zombie Apocalypse,20.683405,No Collection,"[3, 11]"
Minority Report,20.666063,No Collection,"[0, 17, 15, 13]"
Star Trek Beyond,20.659284,Star Trek: Alternate Reality Collection,"[0, 1, 15]"
The Hobbit: The Desolation of Smaug,20.644776,The Hobbit Collection,"[1, 8]"
Underworld,20.624333,Underworld Collection,"[8, 0, 17]"
Sin City: A Dame to Kill For,20.623642,Sin City Collection,"[4, 17]"
The Dark Knight Rises,20.58258,The Dark Knight Collection,"[0, 4, 6, 17]"
San Andreas,20.547925,No Collection,"[0, 6, 17]"
Ratatouille,20.50803,No Collection,"[2, 3, 7, 8]"
It Comes at Night,20.504587,No Collection,"[11, 13, 17]"
Beautiful Creatures,20.485203,No Collection,"[8, 6, 14]"
Leon: The Professional,20.477329,No Collection,"[17, 4, 6]"
The Bourne Supremacy,20.40426,The Bourne Collection,"[0, 6, 17]"
S.W.A.T.: Under Siege,20.38691,S.W.A.T. Collection,"[0, 4, 17]"
It Follows,20.359336,No Collection,"[11, 17]"
Amazing Grace,20.346477,No Collection,[6]
The Hateful Eight,20.328822,No Collection,"[4, 6, 13, 19]"
Skyfall,20.309585,James Bond Collection,"[0, 1, 17]"
Passengers,20.303632,No Collection,"[1, 6, 14, 15]"
Top Gun,20.301019,No Collection,"[0, 14, 18]"
Kidnap,20.214579,No Collection,"[6, 17]"
V for Vendetta,20.214422,No Collection,"[0, 17, 8]"
Ice Age: Collision Course,20.151037,Ice Age Collection,"[1, 2, 7, 3]"
Black Butterfly,20.058633,No Collection,[17]
Sing,20.045673,No Collection,"[2, 3, 6, 7, 12]"
The Hunger Games,20.031667,The Hunger Games Collection,"[15, 1, 8]"
Underworld: Blood Wars,20.02976,Underworld Collection,"[0, 8, 11]"
Derailed,20.020975,No Collection,"[0, 17]"
The Green Mile,19.96678,No Collection,"[8, 6, 4]"
American Pastoral,19.953565,No Collection,[6]
"Crouching Tiger, Hidden Dragon",19.944953,"Crouching Tiger, Hidden Dragon Collection","[1, 6, 0, 14]"
Live by Night,19.94393,No Collection,"[4, 6]"
Dr. No,19.931606,James Bond Collection,"[1, 0, 17]"
War of the Worlds,19.929377,No Collection,"[1, 17, 15]"
Dead Poets Society,19.905716,No Collection,[6]
Raiders of the Lost Ark,19.901576,Indiana Jones Collection,"[1, 0]"
The Woman in Red,19.856025,No Collection,"[3, 14]"
Catch Me If You Can,19.833077,No Collection,"[6, 4]"
Child's Play,19.827546,Child's Play Collection,"[11, 17]"
Equals,19.803969,No Collection,"[6, 14, 15]"
Cinderella,19.801128,No Collection,"[14, 8, 7, 6]"
Django Unchained,19.785025,No Collection,"[6, 19]"
King Kong,19.761164,No Collection,"[1, 6, 0]"
Jaws,19.726114,The Jaws Collection,"[11, 17, 1]"
La La Land,19.681686,No Collection,"[3, 6, 12, 14]"
Factory Girl,19.651793,No Collection,[6]
Non-Stop,19.650229,No Collection,"[0, 17, 13]"
Ted,19.638605,Ted Collection,"[3, 8]"
The Shining,19.611589,No Collection,"[11, 17]"
Hercules,19.606895,No Collection,"[0, 1]"
The Last Samurai,19.582325,No Collection,"[6, 0, 18, 10]"
Iron Sky,19.561767,Iron Sky Collection,"[0, 3, 15]"
Night at the Museum: Secret of the Tomb,19.539436,Night at the Museum Collection,"[1, 3, 8, 7]"
Super 8,19.529911,No Collection,"[17, 15, 13]"
The Emerald Forest,19.520733,No Collection,"[0, 1, 6]"
Sicario,19.511221,No Collection,"[0, 4, 6, 13, 17]"
The Empire Strikes Back,19.470959,Star Wars Collection,"[1, 0, 15]"
Maleficent,19.467404,No Collection,"[8, 1, 0, 7, 14]"
No manches Frida,19.454717,No Collection,[3]
The Runaways,19.42051,No Collection,"[6, 12]"
Fantastic Four,19.382082,Fantastic Four Collection,"[0, 1, 8, 15]"
E.T. the Extra-Terrestrial,19.358546,No Collection,"[15, 1, 7, 8]"
Trainspotting,19.348466,Trainspotting Collection,"[6, 4]"
Up,19.330884,No Collection,"[2, 3, 7, 1]"
Captain America: The First Avenger,19.323582,Captain America Collection,"[0, 1, 15]"
Bandidas,19.294832,No Collection,"[0, 3, 19, 4]"
The Terminator,19.293562,The Terminator Collection,"[0, 17, 15]"
Real Steel,19.265552,No Collection,"[0, 15, 6]"
Mr. Holmes,19.256859,No Collection,"[6, 13]"
Dawn of the Dead,19.24201,Living Dead Collection,[11]
Vice,19.236571,No Collection,"[17, 15, 0, 1]"
American Sniper,19.228561,No Collection,"[18, 0]"
The Bye Bye Man,19.225832,No Collection,"[11, 17]"
The Adventures of Tintin,19.201504,No Collection,"[1, 2, 13]"
Cars 3,19.148182,Cars Collection,"[7, 3, 2, 1]"
xXx: State of the Union,19.144611,xXx Collection,"[0, 1, 4, 6, 13, 17]"
Jason Bourne,19.133256,The Bourne Collection,"[0, 17]"
The Incredible Hulk,19.125537,No Collection,"[15, 0, 1]"
Batman,19.10673,Batman Collection,"[8, 0]"
Zodiac,19.083823,No Collection,"[4, 6, 13, 17]"
Harry Potter and the Half-Blood Prince,19.083723,Harry Potter Collection,"[1, 8, 7]"
Iron Man 2,19.083344,Iron Man Collection,"[1, 0, 15]"
Mission: Impossible II,18.97178,Mission: Impossible Collection,"[1, 0, 17]"
The Hills Have Eyes,18.960549,The Hills Have Eyes (Reboot) Collection,"[11, 17]"
Undisputed II: Last Man Standing,18.957084,Undisputed Collection,"[0, 4, 17]"
High-Rise,18.947206,No Collection,[6]
National Treasure,18.932203,National Treasure Collection,"[1, 0, 17, 13]"
The Perfect Storm,18.911961,No Collection,[6]
Nocturnal Animals,18.908782,No Collection,"[6, 17]"
Cars,18.907948,Cars Collection,"[2, 1, 3, 7]"
Blade: Trinity,18.860681,Blade Collection,"[15, 0, 11, 17, 1, 8]"
9 Songs,18.847707,No Collection,"[6, 12, 14]"
Sister Act,18.83065,Sister Act Collection,"[12, 3]"
Die Hard 2,18.785984,Die Hard Collection,"[0, 17]"
The BFG,18.769476,No Collection,"[1, 7, 8]"
Apollo 13,18.761467,No Collection,[6]
Snow White and the Huntsman,18.751554,The Huntsman Collection,"[1, 8, 6]"
Captain America: The Winter Soldier,18.717704,Captain America Collection,"[0, 1, 15]"
Once Upon a Time in Venice,18.699821,No Collection,"[0, 3, 17]"
Sherlock Holmes: A Game of Shadows,18.695329,Sherlock Holmes Collection,"[1, 0, 4, 13]"
The Scorpion King: Rise of a Warrior,18.691187,The Scorpion King Collection,"[8, 0, 1]"
Chicken Little,18.584609,No Collection,"[2, 7, 3]"
"I, Daniel Blake",18.577504,No Collection,[6]
The Da Vinci Code,18.566706,Robert Langdon Collection,"[17, 13]"
The Pink Panther 2,18.54675,The Pink Panther (Steve Martin) Collection,"[3, 13]"
French Connection II,18.54199,French Connection Collection,"[0, 4, 6, 17]"
Man of Steel,18.538834,Man of Steel Collection,"[0, 1, 8, 15]"
The Departed,18.515448,No Collection,"[6, 17, 4]"
9,18.502877,No Collection,"[0, 1, 2, 15, 17]"
Gravity,18.50194,No Collection,"[15, 17, 6]"
Predator,18.495694,Predator Collection,"[15, 0, 1, 17]"
Transformers: Age of Extinction,18.495599,Transformers Collection,"[15, 0, 1]"
We're the Millers,18.474368,We're the Millers Collection,"[3, 4]"
Brimstone,18.473022,No Collection,"[13, 17, 19]"
Lilo & Stitch,18.469238,Lilo & Stitch Collection,"[2, 7]"
Prince of Persia: The Sands of Time,18.459955,No Collection,"[1, 8, 0, 14]"
Se7en,18.45743,No Collection,"[4, 13, 17]"
Passenger 57,18.451321,No Collection,"[0, 1, 17]"
The Sixth Sense,18.449169,No Collection,"[13, 17, 6]"
Carrie,18.399055,No Collection,"[6, 11]"
Allegiant,18.386172,Divergent Collection,"[1, 15]"
American Pie,18.344227,American Pie Collection,"[3, 14]"
Six Days Seven Nights,18.324219,No Collection,"[0, 1, 3, 14]"
Inferno,18.311054,Robert Langdon Collection,[17]
Donnie Darko,18.303148,Darko Collection,"[8, 6, 13]"
Sully,18.275689,No Collection,"[6, 10]"
Need for Speed,18.271383,No Collection,"[0, 4, 6, 17]"
The Punisher,18.250919,No Collection,"[0, 4, 6]"
On the Waterfront,18.211093,No Collection,"[4, 6]"
Vertigo,18.20822,No Collection,"[13, 14, 17]"
Platoon,18.206972,No Collection,"[6, 18, 0]"
Birdman,18.193263,No Collection,"[6, 3]"
Spy Game,18.186839,No Collection,"[0, 4, 17]"
Mulholland Drive,18.184056,No Collection,"[17, 6, 13]"
The Bourne Ultimatum,18.173269,The Bourne Collection,"[0, 6, 13, 17]"
American History X,18.157166,No Collection,[6]
Flying Swords of Dragon Gate,18.147447,No Collection,"[1, 0]"
Annie Hall,18.146043,No Collection,"[3, 6, 14]"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18.13542,The Chronicles of Narnia Collection,"[1, 7, 8]"
300,18.108408,300 Collection,"[0, 1, 18]"
Taken 3,18.081483,Taken Collection,"[17, 0]"
3:10 to Yuma,18.079094,No Collection,[19]
13 Hours: The Secret Soldiers of Benghazi,18.022579,No Collection,"[0, 6, 10, 17, 18]"
Disturbia,18.006896,No Collection,"[17, 6, 13]"
Shark Tale,17.999273,No Collection,"[2, 0, 3, 7]"
Shrek,17.987728,Shrek Collection,"[1, 2, 3, 7, 8]"
Their Finest,17.958512,No Collection,"[14, 18, 3, 6]"
Identity,17.955897,No Collection,"[13, 17]"
School of Rock,17.95142,No Collection,"[3, 12]"
The Curious Case of Benjamin Button,17.934821,No Collection,"[8, 6, 17, 13, 14]"
Heat,17.924927,No Collection,"[0, 4, 6, 17]"
xXx: Return of Xander Cage,17.918269,xXx Collection,"[0, 1, 4]"
Rear Window,17.911314,No Collection,"[6, 13, 17]"
The Judge,17.887943,No Collection,[6]
3 Days to Kill,17.861119,No Collection,"[0, 6, 17, 4]"
Michael Jackson's Thriller,17.85649,No Collection,"[11, 12]"
Now You See Me,17.852022,Now You See Me Collection,"[17, 4]"
Mission: Impossible - Rogue Nation,17.836882,Mission: Impossible Collection,"[0, 1, 17]"
Life of Crime,17.788579,No Collection,"[3, 4]"
Planet of the Apes,17.784978,Planet of the Apes Original Collection,"[15, 1, 6, 0]"
Operation Chromite,17.767346,No Collection,"[10, 6, 18, 0]"
The Nightmare Before Christmas,17.730913,No Collection,"[8, 2, 7]"
A Man Apart,17.714247,No Collection,"[0, 6]"
Dogtooth,17.713581,No Collection,[6]
Legend of the Guardians: The Owls of Ga'Hoole,17.674048,No Collection,"[2, 1, 7, 8]"
28 Days Later,17.656951,28 Days/Weeks Later Collection,"[11, 17, 15]"
Anna and the King,17.65016,No Collection,"[6, 10, 14]"
T2 Trainspotting,17.645877,Trainspotting Collection,"[4, 6]"
Independence Day,17.634197,Independence Day Collection,"[0, 1, 15]"
Kung Fu Yoga,17.630487,No Collection,"[13, 0, 1, 3]"
The Equalizer,17.618057,No Collection,"[17, 0, 4]"
Edward Scissorhands,17.612244,No Collection,"[8, 6, 14]"
Child 44,17.608346,No Collection,"[4, 17]"
Sinister 2,17.602928,Sinister Collection,[11]
The Great Gatsby,17.598936,No Collection,"[6, 14]"
Sausage Party,17.56963,No Collection,"[1, 2, 3, 8]"
Addams Family Values,17.555909,Addams Family Collection,"[3, 7, 8]"
Toy Story 2,17.547693,Toy Story Collection,"[2, 3, 7]"
The Founder,17.523343,No Collection,"[6, 10]"
Showgirls,17.502375,Showgirls Collection,[6]
The Little Mermaid,17.496832,The Little Mermaid Collection,"[2, 7]"
Wild Orchid,17.395203,Wild Orchid Collection,"[6, 14]"
"See No Evil, Hear No Evil",17.367336,No Collection,"[4, 3]"
Saw VI,17.360894,Saw Collection,"[11, 13]"
Ice Age,17.328902,Ice Age Collection,"[2, 3, 7, 1]"
Trainwreck,17.310647,No Collection,[3]
