title,popularity,collection,genres_encoded
Minions,547.488298,Despicable Me Collection,"[7, 2, 1, 3]"
Wonder Woman,294.337037,Wonder Woman Collection,"[0, 1, 8]"
Beauty and the Beast,287.253654,No Collection,"[7, 8, 14]"
Baby Driver,228.032744,No Collection,"[0, 4]"
Big Hero 6,213.849907,No Collection,"[1, 7, 2, 0, 3]"
Deadpool,187.860492,Deadpool Collection,"[0, 1, 3]"
Guardians of the Galaxy Vol. 2,185.330992,Guardians of the Galaxy Collection,"[0, 1, 3, 15]"
Avatar,185.070892,Avatar Collection,"[0, 1, 8, 15]"
John Wick,183.870374,John Wick Collection,"[0, 17]"
Gone Girl,154.801009,No Collection,"[13, 17, 6]"
The Hunger Games: Mockingjay - Part 1,147.098006,The Hunger Games Collection,"[15, 1, 17]"
War for the Planet of the Apes,146.161786,Planet of the Apes (Reboot) Collection,"[6, 15, 18]"
Captain America: Civil War,145.882135,Captain America Collection,"[1, 0, 15]"
Pulp Fiction,140.950236,No Collection,"[17, 4]"
Pirates of the Caribbean: Dead Men Tell No Tales,133.82782,Pirates of the Caribbean Collection,"[1, 0, 8, 3]"
The Dark Knight,123.167259,The Dark Knight Collection,"[6, 0, 4, 17]"
Blade Runner,96.272374,Blade Runner Collection,"[15, 6, 17]"
The Avengers,89.887648,The Avengers Collection,"[15, 0, 1]"
Captain Underpants: The First Epic Movie,88.561239,No Collection,"[0, 2, 3, 7]"
The Circle,88.439243,No Collection,"[6, 17, 15]"
The Bad Batch,78.8072,No Collection,"[17, 14, 15]"
The Maze Runner,76.93789,The Maze Runner Collection,"[0, 13, 15, 17]"
Dawn of the Planet of the Apes,75.385211,Planet of the Apes (Reboot) Collection,"[15, 0, 6, 17]"
Alien: Covenant,72.884078,Prometheus Collection,"[11, 15, 17]"
Ghost in the Shell,68.726676,No Collection,"[0, 15, 17]"
Boyka: Undisputed IV,67.955052,Undisputed Collection,"[17, 0, 4]"
Whiplash,64.29999,No Collection,[6]
Fight Club,63.869599,No Collection,[6]
What Happened to Monday,60.581223,No Collection,"[15, 17]"
Wish Upon,59.578823,No Collection,"[8, 11, 17]"
Thor: Ragnarok,57.283628,Thor Collection,"[0, 1, 8, 15]"
Logan,54.581997,The Wolverine Collection,"[0, 6, 15]"
Guardians of the Galaxy,53.291601,Guardians of the Galaxy Collection,"[0, 15, 1]"
47 Meters Down,52.854103,No Collection,"[6, 17, 11, 1]"
The Shawshank Redemption,51.645403,No Collection,"[6, 4]"
The Last King,50.949523,No Collection,"[0, 1, 6]"
The Dark Tower,50.903593,No Collection,"[0, 19, 15, 8, 11]"
John Wick: Chapter 2,49.247505,John Wick Collection,"[17, 0, 4]"
The Fate of the Furious,48.573287,The Fast and the Furious Collection,"[0, 4, 17]"
Forrest Gump,48.307194,No Collection,"[3, 6, 14]"
Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,Pirates of the Caribbean Collection,"[1, 8, 0]"
Security,47.114366,No Collection,[0]
The Legend of Tarzan,45.38298,No Collection,"[0, 1]"
King Arthur: Legend of the Sword,44.251369,No Collection,"[0, 6, 8]"
Doctor Strange,43.847654,No Collection,"[0, 1, 8, 15]"
Suicide Squad,42.965027,No Collection,"[0, 1, 4, 8, 15]"
Star Wars,42.149697,Star Wars Collection,"[1, 0, 15]"
Ted 2,42.061481,Ted Collection,[3]
Schindler's List,41.725123,No Collection,"[6, 10, 18]"
Rise of the Planet of the Apes,41.613762,Planet of the Apes (Reboot) Collection,"[17, 0, 6, 15]"
Maze Runner: The Scorch Trials,41.225769,The Maze Runner Collection,[0]
